Repo,Submodule,LOC,Dependencies
apache__flink-kubernetes-operator,C:\Users\tyin363\Documents\repos\apache__flink-kubernetes-operator\flink-kubernetes-standalone,2783,95
apache__flink-kubernetes-operator,C:\Users\tyin363\Documents\repos\apache__flink-kubernetes-operator\flink-kubernetes-webhook,1038,95
apache__helix,C:\Users\tyin363\Documents\repos\apache__helix\helix-agent,765,19
apache__helix,C:\Users\tyin363\Documents\repos\apache__helix\helix-common,341,18
apache__helix,C:\Users\tyin363\Documents\repos\apache__helix\helix-core,194523,32
apache__helix,C:\Users\tyin363\Documents\repos\apache__helix\helix-lock,1626,16
apache__helix,C:\Users\tyin363\Documents\repos\apache__helix\helix-rest,21580,39
apache__helix,C:\Users\tyin363\Documents\repos\apache__helix\helix-view-aggregator,2826,23
apache__helix,C:\Users\tyin363\Documents\repos\apache__helix\meta-client,8539,18
apache__helix,C:\Users\tyin363\Documents\repos\apache__helix\metadata-store-directory-common,1119,22
apache__helix,C:\Users\tyin363\Documents\repos\apache__helix\metrics-common,678,17
apache__helix,C:\Users\tyin363\Documents\repos\apache__helix\recipes\distributed-lock-manager,311,17
apache__helix,C:\Users\tyin363\Documents\repos\apache__helix\recipes\rabbitmq-consumer-group,475,20
apache__helix,C:\Users\tyin363\Documents\repos\apache__helix\recipes\rsync-replicated-file-system,1955,19
apache__helix,C:\Users\tyin363\Documents\repos\apache__helix\recipes\service-discovery,382,17
apache__helix,C:\Users\tyin363\Documents\repos\apache__helix\recipes\task-execution,1130,18
apache__helix,C:\Users\tyin363\Documents\repos\apache__helix\zookeeper-api,17110,24
apache__hertzbeat,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-alerter,23521,1553
apache__hertzbeat,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-base,79,1538
apache__hertzbeat,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-collector\hertzbeat-collector-basic,20608,1570
apache__hertzbeat,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-collector\hertzbeat-collector-collector,1084,1554
apache__hertzbeat,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-collector\hertzbeat-collector-common,3991,1553
apache__hertzbeat,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-collector\hertzbeat-collector-kafka,620,1546
apache__hertzbeat,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-collector\hertzbeat-collector-mongodb,351,1546
apache__hertzbeat,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-collector\hertzbeat-collector-nebulagraph,836,1546
apache__hertzbeat,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-collector\hertzbeat-collector-rocketmq,559,1546
apache__hertzbeat,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-common,20133,1563
apache__hertzbeat,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-grafana,1020,1541
apache__hertzbeat,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-manager,18467,1570
apache__hertzbeat,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-mcp,210,1637
apache__hertzbeat,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-otel,215,1542
apache__hertzbeat,C:\Users\tyin363\Documents\repos\apache__hertzbeat\hertzbeat-plugin,122,1538
