submodule,normalised_direct_deps,normalised_transitive_deps
apolloconfig__apollo_apollo-audit-spring-boot-starter,0,0.0
apolloconfig__apollo_apollo-biz,0.0,0.0
apolloconfig__apollo_apollo-build-sql-converter,0.0,0
apolloconfig__apollo_apollo-common,0.0,0.0
apolloconfig__apollo_apollo-configservice,0.0,0.0
approvals__ApprovalTests.Java_approvaltests,0.0,0.0
approvals__ApprovalTests.Java_approvaltests-tests,0,0.0
approvals__ApprovalTests.Java_counter_display,0,0
approvals__ApprovalTests.Java_html_locker,0,0
arquillian__arquillian-core_api,0,0
arquillian__arquillian-core_cdi,0.0,0.0
arquillian__arquillian-core_common,0.0,0
arquillian__arquillian-core_container,0.0625,0.0
arquillian__arquillian-core_core,0.0,0
arquillian__arquillian-core_ejb,0.0,0.0
arquillian__arquillian-core_impl-base,0,0
arquillian__arquillian-core_initialcontext,0,0
arquillian__arquillian-core_jmx,0,0
arquillian__arquillian-core_resource,0.0,0.0
arquillian__arquillian-core_servlet,0.0,0.0
arquillian__arquillian-core_spi,0,0
arquillian__arquillian-core_standalone,0,0
arquillian__arquillian-core_test-api,0.0,0
arquillian__arquillian-core_test-impl-base,0,0.0
arquillian__arquillian-core_test-spi,0,0
arturmkrtchyan__iban4j_arturmkrtchyan__iban4j,0.0,0
asciidoctor__asciidoctor-maven-plugin_asciidoctor-converter-doxia-module,0.0,0.0
asciidoctor__asciidoctor-maven-plugin_asciidoctor-maven-commons,0.0,0.0
asciidoctor__asciidoctor-maven-plugin_asciidoctor-maven-plugin,0.0,0.0
asciidoctor__asciidoctor-maven-plugin_asciidoctor-parser-doxia-module,0.0,0.0
asciidoctor__asciidoctor-maven-plugin_log-handler,0,0.0
Athou__commafeed_commafeed-server,0.0,0.0
atjiu__pybbs_comment-layer-plugin,0,0
atjiu__pybbs_redis-cache-plugin,0,0
awspring__spring-cloud-aws_spring-cloud-aws-autoconfigure,0.0,0.0
awspring__spring-cloud-aws_spring-cloud-aws-core,0.0,0.0
awspring__spring-cloud-aws_spring-cloud-aws-docker-compose,0.0,0
awspring__spring-cloud-aws_spring-cloud-aws-dynamodb,0.0,0
aws__serverless-java-container_alt-pet-store,0,0.0
aws__serverless-java-container_aws-serverless-java-container-core,0.0,0.0
aws__serverless-java-container_aws-serverless-java-container-jersey,0.0,0.0
aws__serverless-java-container_aws-serverless-java-container-spring,0.0,0.0
aws__serverless-java-container_aws-serverless-java-container-springboot3,0.0,0.0
aws__serverless-java-container_graphql-pet-store,0.0,0.0
aws__serverless-java-container_jersey-archetype-test,0.0,0.0
aws__serverless-java-container_pet-store,0.0,0.0
aws__serverless-java-container_pet-store-native,0,0.0
aws__serverless-java-container_spring-archetype-test,0.0,0.0
aws__serverless-java-container_springboot-archetype-test,0,0.0
baomidou__lock4j_lock4j-core,0,0.0
baomidou__lock4j_lock4j-redis-template-spring-boot-starter,0.0,0.0
baomidou__lock4j_lock4j-redisson-spring-boot-starter,0.0,0.0
baomidou__lock4j_lock4j-test,0.0,0.0
baomidou__lock4j_lock4j-zookeeper-spring-boot-starter,0.0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-active-record,0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-assembly,0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-association,0.0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-auto-fill-metainfo,0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-crud,0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-ddl-mysql,0.0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-deluxe,0.0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-dynamic-tablename,0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-enum,0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-execution-analysis,0.0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-id-generator,0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-id-string,0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-jsonb,0.0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-logic-delete,0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-mysql,0.0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-no-spring,0.0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-optimistic-locker,0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-pagehelper,0.0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-pagination,0.0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-performance-analysis,0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-quickstart,0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-quickstart-springmvc,0.0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-resultmap,0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-sequence,0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-sql-injector,0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-tenant,0.0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-typehandler,0.0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-sample-wrapper,0,0.0
baomidou__mybatis-plus-samples_mybatis-plus-startup-analysis,0,0.0
BaseXdb__basex_basex-api,0.0,0.0
BaseXdb__basex_basex-examples,0.0,0
BaseXdb__basex_basex-tests,0.0,0
bastillion-io__Bastillion_bastillion-io__Bastillion,0.0,0.0
bes2008__sqlhelper_sqlhelper-batchinsert,0.0,0
bes2008__sqlhelper_sqlhelper-cli,0.008849557522123894,0.047619047619047616
bes2008__sqlhelper_sqlhelper-common,0.0,0
bes2008__sqlhelper_sqlhelper-datasource,0.01282051282051282,0.12
bes2008__sqlhelper_sqlhelper-datasource-flyway,0.0,0
bes2008__sqlhelper_sqlhelper-dbutils,0.0,0.0
bes2008__sqlhelper_sqlhelper-ebean,0.06,0.0
bes2008__sqlhelper_sqlhelper-hibernate,0.06818181818181818,0
bes2008__sqlhelper_sqlhelper-jfinal,0.10714285714285714,0.0
bes2008__sqlhelper_sqlhelper-jsqlparser,0.6988416988416989,0.0
bes2008__sqlhelper_sqlhelper-mango,1.2456140350877194,0
bes2008__sqlhelper_sqlhelper-mybatis,0.012269938650306749,0.0
bes2008__sqlhelper_sqlhelper-mybatis-over-pagehelper,0.0,0.0
bes2008__sqlhelper_sqlhelper-mybatis-solon-plugin,0.11538461538461539,0.0
bes2008__sqlhelper_sqlhelper-mybatis-spring-boot-starter,0.0,0.0
bes2008__sqlhelper_sqlhelper-mybatis-spring-common,0.007936507936507936,0.0
bes2008__sqlhelper_sqlhelper-mybatisplus,0.056338028169014086,0.0
bes2008__sqlhelper_sqlhelper-mybatisplus-commons,0.0,0
bes2008__sqlhelper_sqlhelper-mybatisplus-spring-boot-starter,0.6764705882352942,0.008547008547008548
