Project,Total_Breaking_Changes,Used_Breaking_Changes,Binary_Compatibility_Rate,Source_Compatibility_Rate,Transitive_Changes,Usage_Rate
ageerle__ruoyi-ai_ruoyi-common-json,304,0,0.039473684210526314,0.0,193,0.0
ageerle__ruoyi-ai_ruoyi-common-mybatis,104,1,0.08653846153846154,0.0,104,0.9615384615384616
ageerle__ruoyi-ai_ruoyi-common-oss,3414,1,0.13034563561804335,0.0,3146,0.029291154071470416
ageerle__ruoyi-ai_ruoyi-common-pay,5,0,1.0,0.0,0,0.0
ageerle__ruoyi-ai_ruoyi-common-redis,418,0,0.19856459330143542,0.0,418,0.0
ageerle__ruoyi-ai_ruoyi-common-satoken,573,4,0.05759162303664921,0.0,563,0.6980802792321117
ageerle__ruoyi-ai_ruoyi-common-sms,2747,0,0.008372770294867127,0.0,2711,0.0
ageerle__ruoyi-ai_ruoyi-common-web,276,0,0.057971014492753624,0.0,276,0.0
ageerle__ruoyi-ai_ruoyi-generator,486,0,0.07407407407407407,0.0,320,0.0
ageerle__ruoyi-ai_ruoyi-knowledge-api,228,0,0.013157894736842105,0.0,0,0.0
ageerle__ruoyi-ai_ruoyi-mcp-server,164,0,0.07926829268292683,0.0,164,0.0
ageerle__ruoyi-ai_ruoyi-system,315,0,0.06984126984126984,0.0,308,0.0
aikar__commands_brigadier,110,0,0.19090909090909092,0.0,21,0.0
aikar__commands_bukkit,110,0,0.19090909090909092,0.0,21,0.0
aikar__commands_bungee,110,0,0.19090909090909092,0.0,21,0.0
aikar__commands_core,110,0,0.19090909090909092,0.0,21,0.0
aikar__commands_jda,110,0,0.19090909090909092,0.0,21,0.0
aikar__commands_jda5,4709,4,0.02527075812274368,0.0,4541,0.08494372478233171
aikar__commands_paper,110,0,0.19090909090909092,0.0,21,0.0
aikar__commands_sponge,110,0,0.19090909090909092,0.0,21,0.0
aikar__commands_sponge10,110,0,0.19090909090909092,0.0,21,0.0
aikar__commands_velocity,110,0,0.19090909090909092,0.0,21,0.0
aizuda__flowlong_flowlong-core,7,0,0.42857142857142855,0.0,0,0.0
aizuda__flowlong_flowlong-mybatis-plus,17,0,0.29411764705882354,0.0,5,0.0
aizuda__flowlong_flowlong-solon-example,755,0,0.1576158940397351,0.0,741,0.0
aizuda__flowlong_flowlong-solon-plugin,1032,2,0.07655038759689922,0.0,460,0.1937984496124031
aizuda__flowlong_flowlong-spring-boot-example,459,0,0.04139433551198257,0.0,452,0.0
aizuda__flowlong_flowlong-spring-boot-starter,462,0,0.049783549783549784,0.0,454,0.0
aizuda__snail-job_snail-job-client-common,382,0,0.08376963350785341,0.0,276,0.0
aizuda__snail-job_snail-job-client-job-core,244,0,0.045081967213114756,0.0,244,0.0
aizuda__snail-job_snail-job-client-retry-core,244,0,0.045081967213114756,0.0,244,0.0
aizuda__snail-job_snail-job-client-starter,210,0,0.05238095238095238,0.0,210,0.0
aizuda__snail-job_snail-job-common-core,363,0,0.1652892561983471,0.0,258,0.0
aizuda__snail-job_snail-job-common-log,213,0,0.051643192488262914,0.0,210,0.0
aizuda__snail-job_snail-job-datasource-template,489,3,0.11860940695296524,0.0,386,0.6134969325153374
aizuda__snail-job_snail-job-dm8-datasource,2704,0,0.27736686390532544,0.0,0,0.0
